"Provincia","PromBencina98","PromDiesel"
"ÁVILA",1.7375000000000005,1.4486388888888895
"TOLEDO",1.7494222222222215,1.4566074074074085
"MÁLAGA",1.7724219653179192,1.4634682080924875
"CÁCERES",1.7463913043478265,1.4907391304347832
"ZARAGOZA",1.7554018691588775,1.432299065420561
"RIOJA (LA)",1.7546153846153845,1.4531282051282053
"PALENCIA",1.7124358974358977,1.4443333333333337
"CÁDIZ",1.7160000000000015,1.440122950819673
"SEVILLA",1.7553641975308645,1.4767345679012338
"MURCIA",1.7130209205020919,1.4030125523012544
"BARCELONA",1.7700409482758623,1.411010775862068
"GUADALAJARA",1.7302083333333338,1.466854166666667
"CÓRDOBA",1.708514705882353,1.4407647058823527
"VALLADOLID",1.7310135135135134,1.4132972972972975
"SANTA CRUZ DE TENERIFE",1.3854054054054057,1.2526666666666666
"LUGO",1.7130000000000003,1.4389848484848484
"PONTEVEDRA",1.7397248322147658,1.4405973154362421
"CASTELLÓN / CASTELLÓ",1.7766624999999998,1.4470749999999994
"CANTABRIA",1.7817941176470584,1.4325980392156856
"NAVARRA",1.76821875,1.45559375
"CORUÑA (A)",1.7588306878306896,1.4358994708994712
"LEÓN",1.7369693877551018,1.4213571428571423
"SEGOVIA",1.7590249999999998,1.4283499999999996
"TERUEL",1.732275862068965,1.4563103448275867
"ALICANTE",1.7584060150375938,1.4261466165413552
"MADRID",1.7578656387665195,1.4646035242290778
"ZAMORA",1.7356170212765958,1.4554893617021276
"HUELVA",1.785913793103449,1.4452068965517244
"BIZKAIA",1.7810365853658539,1.4706219512195118
"CIUDAD REAL",1.7507594936708868,1.4588101265822788
"SALAMANCA",1.733384615384615,1.4557115384615378
"PALMAS (LAS)",1.4155045454545454,1.289722727272726
"ALBACETE",1.7278947368421056,1.4520657894736844
"CEUTA",1.326857142857143,1.1985714285714286
"JAÉN",1.730352941176471,1.455835294117647
"BURGOS",1.7691791044776128,1.459074626865672
"ARABA/ÁLAVA",1.767545454545454,1.4683409090909094
"LLEIDA",1.71825,1.4226624999999995
"ASTURIAS",1.7755205479452054,1.4654178082191776
"TARRAGONA",1.7606400000000002,1.4126560000000008
"GIRONA",1.7804107142857142,1.4256607142857147
"GIPUZKOA",1.773353658536585,1.4743536585365855
"SORIA",1.7318823529411767,1.415235294117647
"BADAJOZ",1.7333866666666669,1.4491599999999991
"OURENSE",1.7514705882352946,1.4404705882352942
"ALMERÍA",1.7372970297029713,1.4646732673267326
"VALENCIA / VALÈNCIA",1.7747391304347857,1.442361204013376
"HUESCA",1.7228596491228076,1.4311403508771927
"GRANADA",1.7225506329113929,1.4246265822784823
"CUENCA",1.751488372093023,1.4827441860465118
"BALEARS (ILLES)",1.8115748031496055,1.4980551181102366
